url,samplevid,title,mainimgurl,mainimgs,details,duration,director,productioncomp,girls,catogories,imgurls,imgs,,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=kavr00012,----,"[VR] [The Forbidden Girls' Dorm Manager Experience VR] Before I Knew It, My Room Became A Hangout For A Beautiful Young Girl In Uniform Who Missed Her Dorm Curfew!!",https://pics.r18.com/digital/video/kavr00012/kavr00012ps.jpg,kavr00012ps.jpg,"Sept. 25, 2018",107,Shizukaman,kawaii,"['Aoi Kururugi', 'Nao Jinguji', 'Kanon Momojiri', 'Shiori Kuraki']","['Schoolgirl', 'School Uniform', 'Panty Shot', 'Creampie', 'POV', 'VR Exclusive']","['https://pics.r18.com/digital/video/kavr00012/kavr00012jp-1.jpg', 'https://pics.r18.com/digital/video/kavr00012/kavr00012jp-2.jpg', 'https://pics.r18.com/digital/video/kavr00012/kavr00012jp-3.jpg', 'https://pics.r18.com/digital/video/kavr00012/kavr00012jp-4.jpg', 'https://pics.r18.com/digital/video/kavr00012/kavr00012jp-5.jpg', 'https://pics.r18.com/digital/video/kavr00012/kavr00012jp-6.jpg', 'https://pics.r18.com/digital/video/kavr00012/kavr00012jp-7.jpg', 'https://pics.r18.com/digital/video/kavr00012/kavr00012jp-8.jpg', 'https://pics.r18.com/digital/video/kavr00012/kavr00012jp-9.jpg', 'https://pics.r18.com/digital/video/kavr00012/kavr00012jp-10.jpg']","['kavr00012jp-1.jpg', 'kavr00012jp-2.jpg', 'kavr00012jp-3.jpg', 'kavr00012jp-4.jpg', 'kavr00012jp-5.jpg', 'kavr00012jp-6.jpg', 'kavr00012jp-7.jpg', 'kavr00012jp-8.jpg', 'kavr00012jp-9.jpg', 'kavr00012jp-10.jpg']",,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=juvr00002,http://awspv3001.r18.com/litevideo/freepv/j/juv/juvr00002/juvr00002_dmb_w.mp4,[VR] Madonna VR No.2!! Celebrating 15 Years VR x DVD Synergistic Variety Special!! [Caution Before Viewing] The World's Worst Cuckold Story I Can Only Get Excited By Peeping On My Wife Getting Fucked From Underneath The Bed... A VR Cuckold Experience Of Shame And Excitement,https://pics.r18.com/digital/video/juvr00002/juvr00002ps.jpg,juvr00002ps.jpg,"Sept. 25, 2018",57,----,MADONNA,['----'],"['Mature Woman', 'Married Woman', 'Big Tits', 'Big Asses', 'Cheating Wife', 'VR Exclusive']","['https://pics.r18.com/digital/video/juvr00002/juvr00002jp-1.jpg', 'https://pics.r18.com/digital/video/juvr00002/juvr00002jp-2.jpg', 'https://pics.r18.com/digital/video/juvr00002/juvr00002jp-3.jpg', 'https://pics.r18.com/digital/video/juvr00002/juvr00002jp-4.jpg', 'https://pics.r18.com/digital/video/juvr00002/juvr00002jp-5.jpg', 'https://pics.r18.com/digital/video/juvr00002/juvr00002jp-6.jpg', 'https://pics.r18.com/digital/video/juvr00002/juvr00002jp-7.jpg', 'https://pics.r18.com/digital/video/juvr00002/juvr00002jp-8.jpg', 'https://pics.r18.com/digital/video/juvr00002/juvr00002jp-9.jpg', 'https://pics.r18.com/digital/video/juvr00002/juvr00002jp-10.jpg']","['juvr00002jp-1.jpg', 'juvr00002jp-2.jpg', 'juvr00002jp-3.jpg', 'juvr00002jp-4.jpg', 'juvr00002jp-5.jpg', 'juvr00002jp-6.jpg', 'juvr00002jp-7.jpg', 'juvr00002jp-8.jpg', 'juvr00002jp-9.jpg', 'juvr00002jp-10.jpg']",,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=h_094ktra00063,http://awspv3001.r18.com/litevideo/freepv/h/h_0/h_094ktra063/h_094ktra063_dmb_w.mp4,A Real-Life Nurse With A Slender And Muscular Body Mio Hinata,https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063ps.jpg,h_094ktra00063ps.jpg,"Sept. 25, 2018",120,----,K-tribe,['Mio Hinata'],"['Muscular', 'Beautiful Girl', 'Slender', 'Featured Actress', 'Hi-Def']","['https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-1.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-2.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-3.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-4.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-5.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-6.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-7.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-8.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-9.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-10.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-11.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-12.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-13.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-14.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-15.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-16.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-17.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-18.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-19.jpg', 'https://pics.r18.com/digital/video/h_094ktra00063/h_094ktra00063jp-20.jpg']","['h_094ktra00063jp-1.jpg', 'h_094ktra00063jp-2.jpg', 'h_094ktra00063jp-3.jpg', 'h_094ktra00063jp-4.jpg', 'h_094ktra00063jp-5.jpg', 'h_094ktra00063jp-6.jpg', 'h_094ktra00063jp-7.jpg', 'h_094ktra00063jp-8.jpg', 'h_094ktra00063jp-9.jpg', 'h_094ktra00063jp-10.jpg', 'h_094ktra00063jp-11.jpg', 'h_094ktra00063jp-12.jpg', 'h_094ktra00063jp-13.jpg', 'h_094ktra00063jp-14.jpg', 'h_094ktra00063jp-15.jpg', 'h_094ktra00063jp-16.jpg', 'h_094ktra00063jp-17.jpg', 'h_094ktra00063jp-18.jpg', 'h_094ktra00063jp-19.jpg', 'h_094ktra00063jp-20.jpg']",,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=h_094ktra00064,http://awspv3001.r18.com/litevideo/freepv/h/h_0/h_094ktra064/h_094ktra064_dmb_w.mp4,"Me and My Pig-Tailed, Shrimpy Sister Rio Fujita",https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064ps.jpg,h_094ktra00064ps.jpg,"Sept. 25, 2018",115,----,K-tribe,['Rio Fujida'],"['Beautiful Girl', 'Big Tits', 'Youthful', 'Relatives', 'Featured Actress', 'Sister', 'Hi-Def']","['https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-1.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-2.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-3.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-4.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-5.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-6.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-7.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-8.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-9.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-10.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-11.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-12.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-13.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-14.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-15.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-16.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-17.jpg', 'https://pics.r18.com/digital/video/h_094ktra00064/h_094ktra00064jp-18.jpg']","['h_094ktra00064jp-1.jpg', 'h_094ktra00064jp-2.jpg', 'h_094ktra00064jp-3.jpg', 'h_094ktra00064jp-4.jpg', 'h_094ktra00064jp-5.jpg', 'h_094ktra00064jp-6.jpg', 'h_094ktra00064jp-7.jpg', 'h_094ktra00064jp-8.jpg', 'h_094ktra00064jp-9.jpg', 'h_094ktra00064jp-10.jpg', 'h_094ktra00064jp-11.jpg', 'h_094ktra00064jp-12.jpg', 'h_094ktra00064jp-13.jpg', 'h_094ktra00064jp-14.jpg', 'h_094ktra00064jp-15.jpg', 'h_094ktra00064jp-16.jpg', 'h_094ktra00064jp-17.jpg', 'h_094ktra00064jp-18.jpg']",,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=h_094ktra00065,http://awspv3001.r18.com/litevideo/freepv/h/h_0/h_094ktra065/h_094ktra065_dmb_w.mp4,Little Sister Love Nao Jinguji,https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065ps.jpg,h_094ktra00065ps.jpg,"Sept. 25, 2018",129,----,K-tribe,['Nao Jinguji'],"['Beautiful Girl', 'Relatives', 'Featured Actress', 'Sister', 'Creampie', 'Hi-Def']","['https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-1.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-2.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-3.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-4.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-5.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-6.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-7.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-8.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-9.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-10.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-11.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-12.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-13.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-14.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-15.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-16.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-17.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-18.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-19.jpg', 'https://pics.r18.com/digital/video/h_094ktra00065/h_094ktra00065jp-20.jpg']","['h_094ktra00065jp-1.jpg', 'h_094ktra00065jp-2.jpg', 'h_094ktra00065jp-3.jpg', 'h_094ktra00065jp-4.jpg', 'h_094ktra00065jp-5.jpg', 'h_094ktra00065jp-6.jpg', 'h_094ktra00065jp-7.jpg', 'h_094ktra00065jp-8.jpg', 'h_094ktra00065jp-9.jpg', 'h_094ktra00065jp-10.jpg', 'h_094ktra00065jp-11.jpg', 'h_094ktra00065jp-12.jpg', 'h_094ktra00065jp-13.jpg', 'h_094ktra00065jp-14.jpg', 'h_094ktra00065jp-15.jpg', 'h_094ktra00065jp-16.jpg', 'h_094ktra00065jp-17.jpg', 'h_094ktra00065jp-18.jpg', 'h_094ktra00065jp-19.jpg', 'h_094ktra00065jp-20.jpg']",,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=h_094ktra00066,http://awspv3001.r18.com/litevideo/freepv/h/h_0/h_094ktra066/h_094ktra066_dmb_w.mp4,"Giant Tits, Shaved Pussy, and Ready to Please! Koko Mashiro",https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066ps.jpg,h_094ktra00066ps.jpg,"Sept. 25, 2018",116,----,K-tribe,['Koko Mashiro'],"['Beautiful Girl', 'Big Tits', 'Youthful', 'Relatives', 'Shaved Pussy', 'Featured Actress', 'Sister', 'Hi-Def']","['https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-1.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-2.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-3.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-4.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-5.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-6.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-7.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-8.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-9.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-10.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-11.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-12.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-13.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-14.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-15.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-16.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-17.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-18.jpg', 'https://pics.r18.com/digital/video/h_094ktra00066/h_094ktra00066jp-19.jpg']","['h_094ktra00066jp-1.jpg', 'h_094ktra00066jp-2.jpg', 'h_094ktra00066jp-3.jpg', 'h_094ktra00066jp-4.jpg', 'h_094ktra00066jp-5.jpg', 'h_094ktra00066jp-6.jpg', 'h_094ktra00066jp-7.jpg', 'h_094ktra00066jp-8.jpg', 'h_094ktra00066jp-9.jpg', 'h_094ktra00066jp-10.jpg', 'h_094ktra00066jp-11.jpg', 'h_094ktra00066jp-12.jpg', 'h_094ktra00066jp-13.jpg', 'h_094ktra00066jp-14.jpg', 'h_094ktra00066jp-15.jpg', 'h_094ktra00066jp-16.jpg', 'h_094ktra00066jp-17.jpg', 'h_094ktra00066jp-18.jpg', 'h_094ktra00066jp-19.jpg']",,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=5433btha00025,http://awspv3001.r18.com/litevideo/freepv/5/543/5433btha00025/5433btha00025_dmb_w.mp4,"Uncensored Hair Nudes Relaxing Type J-Cup Titties, Colossal Tits Shiori Tsukada",https://pics.r18.com/digital/video/5433btha00025/5433btha00025ps.jpg,5433btha00025ps.jpg,"Sept. 25, 2018",95,----,Spark Vision,['Shiori Tsukada'],"['Big Tits', 'Featured Actress', 'Sexy', 'Idol Video', 'Hi-Def']","['https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-1.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-2.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-3.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-4.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-5.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-6.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-7.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-8.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-9.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-10.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-11.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-12.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-13.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-14.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-15.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-16.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-17.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-18.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-19.jpg', 'https://pics.r18.com/digital/video/5433btha00025/5433btha00025jp-20.jpg']","['5433btha00025jp-1.jpg', '5433btha00025jp-2.jpg', '5433btha00025jp-3.jpg', '5433btha00025jp-4.jpg', '5433btha00025jp-5.jpg', '5433btha00025jp-6.jpg', '5433btha00025jp-7.jpg', '5433btha00025jp-8.jpg', '5433btha00025jp-9.jpg', '5433btha00025jp-10.jpg', '5433btha00025jp-11.jpg', '5433btha00025jp-12.jpg', '5433btha00025jp-13.jpg', '5433btha00025jp-14.jpg', '5433btha00025jp-15.jpg', '5433btha00025jp-16.jpg', '5433btha00025jp-17.jpg', '5433btha00025jp-18.jpg', '5433btha00025jp-19.jpg', '5433btha00025jp-20.jpg']",,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03341,----,Sexual Taste Test vol. 23,https://pics.r18.com/digital/video/xg03341/xg03341ps.jpg,xg03341ps.jpg,"Sept. 25, 2018",120,----,MAX-A Legend,['----'],"['Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03342,----,Super Gal's Life 3,https://pics.r18.com/digital/video/xg03342/xg03342ps.jpg,xg03342ps.jpg,"Sept. 25, 2018",78,----,MAX-A Legend,['----'],"['Relatives', 'Variety', 'Amateur', 'Squirting']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03343,----,Do You Like It When I Act Like A Slut!?,https://pics.r18.com/digital/video/xg03343/xg03343ps.jpg,xg03343ps.jpg,"Sept. 25, 2018",76,----,MAX-A Legend,['----'],"['Slut', 'Variety', 'Amateur', 'Training', 'Nymphomaniac']",[],[],,,,,,
